"z000001a","t","wave","year","cohort","sex","yob","hle","pinc","hhinc","marstat","z000002a","jczf001a","jczf002a","jczf003a","jczf004a","jczf005a","jczf006a","jczf007a","jazc039a","jczq009a","jczf030a","jczf031a","jczf032a","jczf033a","jczf034a","jczf035a","jczf036a","jczf037a","jczf038a","jczf039a","jczj074a","jczj075a","jczj079a","jcdu080a","jcdu081a","jcdu082a","jcct087a"
423967603,59,"jc",2022,2,"1",1947,"7",10,5,"2","ZA5665","1","1","1","1","3","4","97","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","2","2","2","2"
168444604,59,"jc",2022,3,"2",1951,"7",98,98,"2","ZA5665","1","1","1","2","2","2","1","98","2","0","0","0","0","0","0","1","0","0","0","2","2","1","3","3","4","4"
615245201,59,"jc",2022,1,"1",1973,"6",14,8,"2","ZA5665","1","1","1","4","4","4","1","2","5","1","0","1","1","0","0","1","0","0","0","3","3","3","2","2","1","2"
661326701,59,"jc",2022,3,"1",1963,"5",9,6,"4","ZA5665","1","4","1","2","5","4","2","3","4","0","0","0","1","0","0","1","0","0","0","3","3","2","4","3","1","2"
396070501,59,"jc",2022,1,"2",1971,"5",8,8,"2","ZA5665","1","1","3","5","5","4","4","98","2","0","0","0","0","0","0","1","0","0","0","3","3","3","3","98","98","2"
732783104,59,"jc",2022,2,"1",1948,"7",7,6,"2","ZA5665","2","2","2","4","4","3","3","1","3","0","0","0","0","1","0","0","0","0","0","3","3","3","3","2","2","98"
180330903,59,"jc",2022,3,"2",1952,"4",9,5,"4","ZA5665","1","1","1","3","5","4","3","2","4","0","0","0","0","0","0","1","0","0","0","3","3","4","2","2","1","4"
607092804,59,"jc",2022,1,"2",1961,"5",97,6,"2","ZA5665","1","2","2","1","4","2","2","2","4","1","0","1","0","0","0","1","1","0","0","3","4","4","2","2","1","2"
751688203,59,"jc",2022,4,"1",1943,"7",9,5,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255095702,59,"jc",2022,3,"2",1967,"5",8,5,"2","ZA5665","1","2","1","5","5","1","2","4","4","0","0","0","0","0","0","1","1","0","0","3","3","3","3","2","1","3"
177639001,59,"jc",2022,1,"2",1943,"6",6,4,"2","ZA5665","1","2","2","1","2","2","6","2","4","0","0","0","0","0","0","0","0","0","0","3","3","3","3","2","2","2"
307882201,59,"jc",2022,4,"2",1995,"7",3,5,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582699903,59,"jc",2022,2,"1",1943,"4",10,5,"2","ZA5665","1","2","1","5","4","5","2","98","5","0","0","0","0","0","0","0","0","0","0","3","3","3","3","2","2","2"
978976901,59,"jc",2022,2,"1",1947,"2",6,6,"4","ZA5665","1","1","1","5","4","4","2","98","4","0","0","0","0","0","0","0","0","0","0","5","4","5","3","2","1","2"
175471703,59,"jc",2022,1,"2",1987,"6",97,5,"2","ZA5665","1","1","5","5","4","5","1","98","5","0","0","1","0","0","0","1","1","0","0","1","1","1","4","98","1","4"
449990801,59,"jc",2022,1,"2",1970,"5",3,6,"2","ZA5665","1","2","5","2","1","2","4","98","1","0","0","0","1","0","0","0","0","0","0","3","2","2","98","98","2","4"
845280301,59,"jc",2022,2,"2",1957,"5",5,6,"2","ZA5665","1","2","4","2","4","2","3","4","4","1","0","1","0","0","0","1","0","0","0","1","1","1","4","3","4","2"
936867303,59,"jc",2022,1,"1",1984,"4",8,5,"2","ZA5665","2","3","5","1","5","5","1","98","3","0","0","1","0","0","0","0","0","0","0","3","3","4","2","3","3","98"
471752301,59,"jc",2022,1,"1",1985,"7",13,8,"1","ZA5665","3","1","1","5","5","4","2","5","4","0","0","0","1","0","1","0","0","0","0","3","2","1","3","3","1","2"
962716102,59,"jc",2022,2,"2",1954,"6",12,6,"2","ZA5665","1","1","1","1","4","3","1","3","3","0","0","0","0","0","0","1","1","0","0","3","3","3","1","2","98","2"
521046302,59,"jc",2022,1,"2",1971,"4",5,5,"2","ZA5665","1","2","2","4","5","5","2","6","3","1","0","1","0","0","0","0","0","0","0","3","3","3","3","3","4","2"
619527003,59,"jc",2022,3,"1",1958,"6",4,3,"2","ZA5665","1","4","4","3","4","4","1","4","4","0","0","0","0","0","0","0","0","0","0","3","3","3","3","1","1","2"
392409601,59,"jc",2022,1,"1",1979,"6",14,8,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
872821201,59,"jc",2022,2,"1",1967,"7",8,5,"2","ZA5665","1","2","1","1","2","4","2","4","3","0","0","0","0","0","1","1","0","0","0","4","3","5","3","98","1","2"
255988704,59,"jc",2022,4,"1",1974,"7",98,98,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658550901,59,"jc",2022,1,"1",1966,"5",10,4,"1","ZA5665","2","1","1","1","3","2","3","5","3","0","0","1","0","0","0","1","0","0","0","3","4","4","2","2","1","2"
733972903,59,"jc",2022,3,"2",1978,"5",8,3,"1","ZA5665","1","3","4","4","4","4","2","98","4","1","0","1","0","0","0","1","0","0","0","2","2","3","3","2","2","3"
258729701,59,"jc",2022,1,"2",1990,"7",9,4,"1","ZA5665","2","1","5","4","4","4","1","98","2","0","0","1","0","0","0","1","0","0","1","1","1","1","98","1","98","4"
182403801,59,"jc",2022,2,"1",1950,"7",13,7,"2","ZA5665","1","1","1","1","4","2","1","5","4","0","0","0","0","0","0","0","0","0","0","4","4","4","2","1","1","3"
861072802,59,"jc",2022,4,"2",1974,"7",98,98,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290762303,59,"jc",2022,1,"1",1951,"7",14,7,"2","ZA5665","1","1","2","3","5","2","2","2","3","0","0","1","0","0","0","1","0","0","0","3","3","4","2","2","1","2"
185179804,59,"jc",2022,4,"2",1960,"4",7,98,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360271604,59,"jc",2022,1,"2",1982,"7",11,7,"2","ZA5665","1","4","1","3","4","2","1","5","4","0","0","0","1","0","0","1","0","0","0","5","4","5","98","98","1","2"
634004801,59,"jc",2022,1,"1",1956,"5",7,7,"2","ZA5665","1","2","1","3","4","4","4","98","4","0","0","0","0","0","0","1","0","0","0","3","3","3","2","2","1","2"
927218901,59,"jc",2022,1,"2",1955,"5",10,9,"2","ZA5665","1","2","3","1","3","2","3","98","4","0","0","0","0","0","0","1","1","0","0","3","3","3","3","2","98","2"
179457103,59,"jc",2022,4,"1",1950,"5",10,4,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
974857304,59,"jc",2022,4,"1",1983,"6",13,9,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186241601,59,"jc",2022,1,"1",1967,"5",14,8,"2","ZA5665","2","1","1","4","4","4","1",NA,"4","0","0","0","1","0","0","1","0","0","1","5","3","4","2","2","1","2"
557932703,59,"jc",2022,3,"2",1995,"7",97,9,"1","ZA5665","1","2","5","5","5","2","1","5","5","1","0","1","0","1","0","1","0","0","0","5","4","5","1","2","1","2"
620254402,59,"jc",2022,1,"2",1981,"7",12,5,"2","ZA5665","4","5","1","4","5","4","2","5","5","0","0","1","1","0","0","1","1","0","0","4","4","4","2","2","1","3"
574750901,59,"jc",2022,1,"2",1973,"5",6,7,"2","ZA5665","1","4","1","5","4","4","3","2","4","0","0","1","0","0","0","0","0","0","0","4","3","3","3","98","1","2"
148852504,59,"jc",2022,1,"1",1977,"4",13,6,"2","ZA5665","1","1","1","4","4","4","1","98","4","1","0","1","1","0","0","1","0","1","1","5","4","5","3","2","3","3"
696122902,59,"jc",2022,2,"2",1982,"7",12,9,"2","ZA5665","2","2","2","2","2","2","1","2","4","1","0","1","1","0","0","1","1","0","0","4","4","4","2","2","2","2"
234920401,59,"jc",2022,2,"1",1949,"5",9,7,"2","ZA5665","1","1","1","5","5","5","3","6","3","0","0","0","0","0","0","1","0","0","0","2","1","1","4","2","1","2"
504023003,59,"jc",2022,3,"2",1956,"5",8,4,"2","ZA5665","1","4","5","3","2","3","2","2","4","0","0","0","0","0","0","0","0","0","0","4","3","2","4","98","98","2"
777040903,59,"jc",2022,3,"2",1970,"7",11,8,"2","ZA5665","3","2","1","2","4","1","1","3","4","0","0","0","0","0","0","1","0","0","0","4","3","3","1","98","1","98"
249753401,59,"jc",2022,3,"2",1995,"7",8,5,NA,"ZA5665","2","2","2","4","5","2","1","5","3","1","0","1","0","0","0","1","1","1","1","4","4","5","3","3","3","2"
120029504,59,"jc",2022,4,"1",1951,"7",11,8,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383873503,59,"jc",2022,3,"1",1995,"7",9,6,"1","ZA5665","4","4","5","5","5","5","2","3","2","0","0","0","0","0","0","1","1","0","0","2","2","1","3","3","3","3"
886157701,59,"jc",2022,1,"2",1956,"6",6,3,"2","ZA5665","1","1","1","1","2","1","4","98","3","0","0","0","0","0","0","1","1","0","0","3","4","5","3","2","2","2"
115048802,59,"jc",2022,1,"1",1954,"4",10,5,"2","ZA5665","1","3","2","1","2","4","97","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3","3","2","1","2"
388905602,59,"jc",2022,1,"2",1989,"7",12,8,"1","ZA5665","2","1","1","5","5","3","2","98","3","0","0","0","1","0","1","0","0","0","0","3","4","5","3","98","1","2"
336865901,59,"jc",2022,2,"1",1957,"4",10,4,"4","ZA5665","1","2","4","4","2","4","3","3","3","0","0","0","0","0","0","1","0","0","0","2","2","4","4","2","2","2"
294246001,59,"jc",2022,3,"2",1969,"5",8,7,"2","ZA5665","1","1","2","4","4","2","4","98","5","0","0","0","0","0","0","1","0","0","0","2","2","1","98","98","98","4"
147548401,59,"jc",2022,1,"2",1979,"4",5,8,"1","ZA5665","1","2","2","4","4","3","1","98","3","1","0","1","0","0","0","1","0","0","0","4","3","4","3","98","1","3"
270452301,59,"jc",2022,4,"1",1960,"7",12,9,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573715301,59,"jc",2022,1,"1",1990,"7",10,5,"1","ZA5665","2","2","3","5","5","4","1","4","5","0","0","0","0","0","0","1","0","0","0","3","4","3","3","98","1","3"
270452301,59,"jc",2022,1,"2",1958,"4",1,3,"2","ZA5665","1","2","1","1","1","2","97","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","2","2","1","2"
297719301,59,"jc",2022,1,"2",1964,"4",5,2,"5","ZA5665","2","1","1","4","4","1","3","4","3","0","0","0","0","0","0","1","0","0","0","3","3","4","98","98","1","98"
959556003,59,"jc",2022,4,"1",1995,"7",12,8,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
917716302,59,"jc",2022,2,"2",1986,"7",9,8,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108975901,59,"jc",2022,1,"2",1950,"5",5,5,"2","ZA5665","1","1","2","1","4","4","2","1","4","1","0","0","0","0","0","1","0","0","0","4","4","4","2","2","3","2"
803070203,59,"jc",2022,1,"2",1966,"5",5,2,"4","ZA5665","1","4","2","5","4","4","4","2","5","1","0","0","0","0","0","1","0","0","0","4",NA,"5","2","1","2","2"
353921503,59,"jc",2022,1,"2",1956,"5",15,9,"2","ZA5665","2","2","2","1","4","4","2","2","3","0","0","0","0","0","0","0","0","0","0","4","4","5","2","2","1","2"
757261101,59,"jc",2022,2,"2",1960,"7",5,6,"2","ZA5665","1","1","1","1","4","1","3","1","4","0","0","0","0","0","0","1","1","0","0","2","2","3","3","2","2","2"
255964904,59,"jc",2022,4,"1",1949,"7",10,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606282204,59,"jc",2022,1,"1",1967,"6",13,8,"2","ZA5665","1","4","1","3","4","4","2","1","2","0","0","0","0","0","0","0","0","0","0","3","3","3","2","2","1","3"
530369901,59,"jc",2022,1,"1",1963,"1",11,5,"1","ZA5665","1","1","1","3","4","5","2","1","4","0","0","0","0","0","0","1","0","0","1","3","3","1","3","2","2","2"
220025604,59,"jc",2022,4,"2",1987,"7",12,5,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225367501,59,"jc",2022,2,"1",1943,"4",6,4,"5","ZA5665","1","1","1","1","2","5","97","1","4","0","0","1","0","0","0","0","0","0","0","1","1","1","3","3","1","3"
557970201,59,"jc",2022,1,"2",1951,"7",11,6,"2","ZA5665","5","2","1","1","1","4","5","7","5","1","0","0","0","0","0","0","0","0","0","5","4","5","4","3","2","4"
425544601,59,"jc",2022,1,"1",1960,"5",13,6,"2","ZA5665","1","2","1","2","4","2","3","98","4","0","0","0","0","0","0","0","0","0","0","3","3","3","3","2","1","2"
659577901,59,"jc",2022,1,"1",1966,"7",9,5,"2","ZA5665","1","4","1","4","4","2","3","4","4","0","0","0","0","0","0","0","0","0","0","4","4","4","2","2","2","2"
912972403,59,"jc",2022,3,"2",1960,"5",7,2,"3","ZA5665","1","1","1","2","4","5","3","98","4","0","0","0","0","0","0","1","1","0","0","3","3","3","2","2","2","2"
161930901,59,"jc",2022,1,"2",1956,"5",9,8,"4","ZA5665","2","1","1","1","3","4","4","7","4","0","0","0","0","0","0","1","0","0","1","4","3","3","2","98","3","3"
184100703,59,"jc",2022,4,"2",1953,"7",8,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155967401,59,"jc",2022,1,"1",1961,"5",98,98,"2","ZA5665","1","1","1","1","4","5","1","1","3","0","0","0","0","0","0","1","0","0","0","3","2","2","3","3","3","3"
572410803,59,"jc",2022,3,"1",1980,"5",14,8,"2","ZA5665","1","1","1","5","5","4","1","5","4","0","0","0","0","0","0","1","0","0","0","4","3","5","1","2","1","2"
745748603,59,"jc",2022,3,"2",1981,"5",5,5,"2","ZA5665","1","1","1","2","4","4","2","5","4","1","0","1","0","0","0","1","1","0","1","4","3","5","2","2","1","2"
318576203,59,"jc",2022,2,"2",1978,"7",11,8,"2","ZA5665","3","2","1","5","3","3","1","4","5","1","1","1","1","0","1","1","1","0","0","5","5","5","2","2","1","2"
358823901,59,"jc",2022,4,"1",1950,"5",12,7,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299851401,59,"jc",2022,1,"1",1968,"6",14,9,"2","ZA5665","1","1","1","3","4","2","3","2","3","0","0","0","0","0","0","1","0","0","0","3","3","4","3","2","2","2"
714041201,59,"jc",2022,3,"2",1988,"6",9,7,"2","ZA5665","2","4","2","4","3","3","3","1","3","0","0","0","0","0","0","0","1","0","0","3","3","2","2","3","1","3"
811173903,59,"jc",2022,3,"2",1986,"7",6,8,"1","ZA5665","1","1","1","4","4","4","1","1","4","1","0","1","0","0","0","1","1","0","0","2","3","4","3","2","2","2"
416337501,59,"jc",2022,1,"2",1971,"5",8,9,"2","ZA5665","1","3","1","1","4","4","1","1","4","1","0","0","0","0","0","1","0","0","0","4","4","4","3","1","1","3"
541717704,59,"jc",2022,1,"2",1955,"6",6,2,"4","ZA5665","1","2","4","3","4","4","2","2","4","1","0","0","0","0","0","0","0","0","0","5","3","2","2","1","1","2"
885211701,59,"jc",2022,1,"1",1946,"4",10,4,"2","ZA5665","1","1","1","1","4","2","1","1","4","1","0","0","0","0","0","1","0","0","0","4","4","4","2","2","1","2"
321573001,59,"jc",2022,1,"1",1964,"5",6,2,"4","ZA5665","1","4","1","1","2","2","2","6","4","1","0","0","0","0","0","1","0","0","0","2","2","2","2","2","2","3"
751688203,59,"jc",2022,1,"1",1967,"7",3,5,"2","ZA5665","2","4","2","1","4","4","4","98","5","0","0","0","0","0","0","0","0","0","0","3","3","4","4","3","1","1"
864600201,59,"jc",2022,1,"2",1995,"7",5,8,"1","ZA5665","1","1","2","5","5","4","3","2","5","0","0","0","0","0","0","1","1","0","0","3","3","3","4","2","2","2"
177562203,59,"jc",2022,1,"1",1948,"5",6,3,"2","ZA5665","1","2","1","3","3","3","4","2","3","1","0","0","0","0","0","1","0","0","0","3","3","4","2","2","1","2"
405657201,59,"jc",2022,4,"1",1995,"7",5,2,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
954458802,59,"jc",2022,1,"2",1963,"7",6,6,"2","ZA5665","1","1","1","1","3","3","4","98","4","0","0","0","0","0","0","1","0","0","0","2","2","2","2","2","1","3"
989022101,59,"jc",2022,3,"2",1994,"7",6,3,"1","ZA5665","2","2","1","5","5","5","2","5","5","0","0","1","0","0","0","1","1","0","0","3","3","3","3","1","1","3"
904774601,59,"jc",2022,1,"2",1967,"5",6,5,"2","ZA5665","1","4","1","2","4","2","2","1","3","1","0","0","0","0","0","0","0","0","0","4","4","2","2","2","1","2"
806549004,59,"jc",2022,1,"2",1961,"7",9,6,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360279002,59,"jc",2022,1,"1",1995,"7",6,98,"1","ZA5665","3","1","1","4","3","4","1","4","4","1","0","1","0","0","0","0","0","1","0","5","3","5","2","2","1","2"
510185504,59,"jc",2022,4,"1",1963,"7",2,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631568103,59,"jc",2022,3,"1",1980,"7",15,9,"2","ZA5665","1","1","1","1","3","2","3","1","4","0","0","0","0","0","0","0","0","0","0","3","3","4","2","2","2","2"
154603101,59,"jc",2022,1,"1",1954,"7",5,4,"2","ZA5665","1","1","1","4","4","2","4","98","3","0","0","0","0","0","0","0","0","0","0","3","3","4","3","98","1","3"
120773001,59,"jc",2022,3,"1",1948,"5",11,4,"1","ZA5665","1","2","3","1","4","1","2","1","5","0","0","0","0","0","0","1","0","0","0","3","3","4","2","2","2","2"
274553001,59,"jc",2022,2,"2",1956,"5",6,5,"2","ZA5665","2","4","1","3","4","3","3","4","4","1","0","0","0","0","0","1","0","0","0","1","2","1","4","2","1","3"
125032401,59,"jc",2022,1,"2",1959,"5",10,3,"4","ZA5665","1","4","5","2","4","5","1","2","2","0","0","1","0","0","0","1","1","0","1","5","5","5","3","2","3","2"
809203901,59,"jc",2022,1,"2",1976,"5",12,8,"1","ZA5665","1","1","5","4","4","3","1","2","4","1","0","1","0","0","0","1","1","0","0","3","3","3","2","2","1","3"
502396903,59,"jc",2022,3,"1",1956,"7",13,6,"2","ZA5665","1","2","1","1","2","4","1","98","5","0","0","0","0","0","0","0","0","0","0","1","1","1","4","1","1","3"
279527603,59,"jc",2022,3,"2",1952,"4",6,5,"2","ZA5665","2","5","5","1","3","1","3","2","3","0","0","0","0","0","0","0","0","0","0","3","3","4","3","2","1","3"
961809701,59,"jc",2022,3,"1",1978,"6",11,5,"4","ZA5665","2","1","1","5","4","4","1","7","3","1","1","1","0","0","0","1","0","0","1","3","2","2","3","3","2","3"
671082203,59,"jc",2022,3,"2",1987,"7",13,8,"1","ZA5665","1","1","4","1","2","2","1","5","4","1","0","1","0","0","0","1","1","0","0","4","4","4","3","2","1","3"
625568202,59,"jc",2022,4,"2",1960,"4",4,9,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525465603,59,"jc",2022,1,"2",1976,"6",7,8,"2","ZA5665","1","5","2","1","5","2","1","5","4","0","0","1","0","0","0","0","0","0","0","4","3","4","2","2","1","2"
920685401,59,"jc",2022,2,"1",1948,"4",7,3,"2","ZA5665","1","2","1","3","2","4","4","2","4","1","0","0","0","0","0","1","0","0","0","3","3","3","3","1","1","2"
933796802,59,"jc",2022,3,"2",1965,"7",98,7,"2","ZA5665","1","1","2","3","4","2","1","2","4","0","0","0","1","1","0","1","0","0","0","4","4","4","3","2","1","2"
585039303,59,"jc",2022,3,"1",1988,"7",11,7,"2","ZA5665","2","3","2","5","5","4","2","5","4","1","0","1","0","0","0","1","0","0","0","4","3","5","2","1","1","2"
749939301,59,"jc",2022,4,"2",1971,"7",7,9,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394431302,59,"jc",2022,1,"1",1979,"5",11,5,"3","ZA5665","1","4","1","4","4","4","1","1","4","1","0","1","0","0","1","1","0","0","0","3","3","1","2","2","1","3"
590258001,59,"jc",2022,2,"2",1981,"5",6,5,"2","ZA5665","1","1","1","1","5","4","1","98","4","1","0","1","0","0","0","1","0","0","1","3","3","4","4","2","1","3"
201297701,59,"jc",2022,1,"2",1953,"7",9,4,"4","ZA5665","2","1","1","2","2","1","1","5","4","1","0","0","0","0","0","1","0","0","0","3","3","3","2","2","2","2"
870014603,59,"jc",2022,3,"2",1962,"5",6,6,"2","ZA5665","1","1","1","1","4","2","2","1","4","1","0","0","0","0","0","0","0","0","0","3","4","4","3","2","1","2"
766955902,59,"jc",2022,1,"1",1951,"4",9,5,"2","ZA5665","2","3","5","5","5","5","97","2","4","0","0","0","0","0","0","0","0","0","0","3","3","3","3","98","1","2"
509638904,59,"jc",2022,4,"2",1950,"5",6,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501450804,59,"jc",2022,1,"1",1952,"4",6,5,"2","ZA5665","1","1","1","1","4","2","1","4","4","1","0","0","0","0","0","1","0","0","1","5","4","4","1","2","1","3"
658216004,59,"jc",2022,3,"2",1975,"6",9,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530792302,59,"jc",2022,3,"1",1967,"7",12,8,"1","ZA5665","1","1","1","1","3","1","1","1","4","0","0","0","0","0","1","1","0","0","1","4","3","4","2","1","1","2"
181363404,59,"jc",2022,3,"2",1961,"7",98,98,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613013204,59,"jc",2022,4,"1",1975,"7",10,6,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918578701,59,"jc",2022,3,"1",1984,"5",10,4,"2","ZA5665","2","1","1","1","4","2","1","1","4","1","0","0","1","0","1","1","0","0","0","4","4","4","3","2","1","2"
294345403,59,"jc",2022,1,"2",1966,"5",7,7,"2","ZA5665","1","3","1","1","4","2","1","5","4","0","0","1","0","0","0","0","1","0","0","4","3","4","2","2","2","2"
563532401,59,"jc",2022,1,"2",1968,"7",97,6,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311193601,59,"jc",2022,2,"1",1964,"5",98,98,"2","ZA5665","1","3","1","1","3","2","3","98","3","0","0","0","0","0","0","0","0","0","0","2","2","3","4","3","2","4"
682607102,59,"jc",2022,2,"2",1984,"7",13,8,"1","ZA5665","1","1","1","4","4","4","1","2","4","1","0","1","0","0","0","1","0","0","0","4","3","4","3","2","1","2"
742397101,59,"jc",2022,1,"1",1967,"7",13,9,"1","ZA5665","2","5","4","2","3","4","1","5","5","0","1","1","0","0","0","1","0","0","0","4","4","4","2","98","1","1"
994096401,59,"jc",2022,1,"1",1949,"5",9,8,"4","ZA5665","2","1","1","1","1","4","3","1","4","0","0","0","0","0","0","0","0","0","0","2","1","2","3","2","1","2"
